DateTimeStamp,0-100-100RAH,0-100-100RFSpd,0-100-100SFSpd,0-50-5W_C_DuctPressure,2-100-100CHWValve,2-100-100EAD,2-100-100OAD,2-100-100RAD,2-10100-0HWCValve,CurrentDASP,DACFMUnfiltered,DAFlowCFMFiltered,DARSCalcdSP,DischAirFlowFPM,EF-6Status,GeneralEFCFMTotal,MAT,OAFlowCFM,OAFlowFPM,RACFMUnfiltered,RAFlowCFMFiltered,RAFlowFPM,RAT,RTU-4DAT,TE-1Status,TE-2Status,TE-3Status,OAD,oamindamper,chwvalve,hwvalve,ductpressstp,occ
10/11/2017 6:00:00 PM,0.8908425,0,0,0.01969231,20,0,20,0,20,68,73.8049,2509.017,68,18.76505,0,700,94.8,0.0001788391,3.150006E-05,0,0,0,72.1,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 6:10:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,53.3368,2509.017,68,14.09038,0,700,94.3,7.36435E-08,1.338973E-08,0,0,0,71.7,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 6:20:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,51.82687,2509.017,68,13.404,0,700,93.3,11.80811,2.231241,0,0,0,71.8,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 6:30:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,42.99419,2509.017,68,11.04239,0,700,92.3,19.58781,3.450125,0,0,0,71.7,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 6:40:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,55.75717,2509.017,68,14.38531,0,700,94.5,40.4154,7.573375,5.226604E-35,5.400824E-35,1.431946E-35,72,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 6:50:00 PM,0.8908425,0,0,0.01969231,20,0,20,0,20,68,51.73065,2509.017,68,13.63661,0,700,93.9,30.51109,5.374112,0,0,0,71.7,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 7:00:00 PM,0.9877412,0,0,0.009846154,20,0,20,0,20,68,44.9618,2509.017,68,11.28595,0,700,93.2,0.000210092,3.700483E-05,0,0,0,71.4,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 7:10:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,41.2374,2509.017,68,10.60376,0,700,92.3,2.827312,0.4979924,0,0,0,71.8,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 7:20:00 PM,1.087766,0,0,0.01969231,20,0,20,0,20,68,42.24901,2509.017,68,10.82476,0,700,94.9,0.008724783,0.001536751,0,0,0,71.5,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 7:30:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,85.82647,2509.017,68,22.20064,0,700,94.1,6.445119E-06,1.17184E-06,0,0,0,71.4,72.3,1,1,0,0,0,0,0,1.2500,0
10/11/2017 7:40:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,39.43976,2509.017,68,10.15492,0,700,92.7,3.41764,0.4523565,0,0,0,71.6,72.3,1,1,0,0,0,0,0,1.2500,0
10/11/2017 7:50:00 PM,1.087766,0,0,0.01969231,20,0,20,0,20,68,60.07729,2509.017,68,15.46395,0,700,91.9,0.3090323,0.05618768,0,0,0,71.5,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 8:00:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,56.55277,2509.017,68,14.89026,0,700,94.3,42.88749,8.208503,0,0,0,71.5,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 8:10:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,57.80591,2509.017,68,14.89683,0,700,93.9,3.304035E-10,5.29089E-11,0,0,0,71.1,72.3,1,1,0,0,0,0,0,1.2500,0
10/11/2017 8:20:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,38.82124,2509.017,68,10.00049,0,700,93,43.04581,8.258459,0,0,0,71.4,72.3,1,1,0,0,0,0,0,1.2500,0
10/11/2017 8:30:00 PM,1.087766,0,0,0.009846154,20,0,20,0,20,68,63.32209,2509.017,68,16.18632,0,700,91.7,1.303663,0.2296224,0,0,0,71.7,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 8:40:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,50.6317,2509.017,68,12.9493,0,700,94.5,1.819687,0.3308522,0,0,0,71.2,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 8:50:00 PM,1.087766,0,0,0.01969231,20,0,20,0,20,68,55.00224,2509.017,68,14.2744,0,700,94.3,9.888588E-10,1.797925E-10,0,0,0,71.2,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 9:00:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,40.73574,2509.017,68,10.4785,0,700,93.6,21.88214,3.978572,0,0,0,70.9,72.3,1,1,0,0,0,0,0,1.2500,0
10/11/2017 9:10:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,52.27974,2509.017,68,13.51707,0,700,92.7,9.363822E-08,1.702513E-08,0,0,0,71,72.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 9:20:00 PM,1.284689,0,0,0.009846154,20,0,20,0,20,68,57.46412,2509.017,68,14.65521,0,700,93.3,5.043663E-07,8.883723E-08,0,0,0,70.7,72.2,1,1,0,0,0,0,0,1.2500,0
